1600000US0203000,Anchorage- AK,region.place,2013,8.2,32.8,11.7,92.5,2.8
1600000US0236400,Juneau- AK,region.place,2013,7.1,36.7,14.3,95.5,1.2
1600000US0224230,Fairbanks- AK,region.place,2013,9.9,21.2,6.9,90.7,3
1600000US0205000,Badger- AK,region.place,2013,12.4,18.1,4.5,93.4,2.8
1600000US0240645,Knik-Fairview- AK,region.place,2013,8.7,19.2,5.2,91.2,3.5
1600000US0216750,College- AK,region.place,2013,7.5,39.3,20.5,94.2,2.1
1600000US0275077,Tanaina- AK,region.place,2013,8.5,19.4,5.7,93,0.9
1600000US0242832,Lakes- AK,region.place,2013,9.7,22.3,7,95.5,0.9
1600000US0270540,Sitka- AK,region.place,2013,7.4,34.1,12.9,91.2,2.2
1600000US0237250,Kalifornsky- AK,region.place,2013,7.1,28.2,7.8,93.6,1.9
1600000US0283080,Wasilla- AK,region.place,2013,9.6,19.7,6.2,92.7,1.5
1600000US0238970,Ketchikan- AK,region.place,2013,6.9,23.5,6.7,92.5,1.5
1600000US0238420,Kenai- AK,region.place,2013,7.9,22.2,9.4,93.1,1.8
1600000US0247735,Meadow Lakes- AK,region.place,2013,6.8,12.6,1.9,90.5,3.1
1600000US0272985,Steele Creek- AK,region.place,2013,7,35.2,13.6,94.7,2.1
1600000US0240950,Kodiak- AK,region.place,2013,8.3,15.9,3.7,88.4,8.1
1600000US0212920,Chena Ridge- AK,region.place,2013,7.1,53.1,22.4,94.8,2.4
1600000US0206520,Bethel- AK,region.place,2013,4.8,23.1,7.6,89.5,3.4
1600000US0258660,Palmer- AK,region.place,2013,7.3,22.1,6.9,91.5,1
1600000US0273070,Sterling- AK,region.place,2013,9.4,19.2,6,92.7,3.3
1600000US0228200,Gateway- AK,region.place,2013,12.6,32.2,13.7,96,1.3
1600000US0233140,Homer- AK,region.place,2013,9.1,32.4,11.8,95.6,0.6
1600000US0225550,Fishhook- AK,region.place,2013,9.5,25,7.8,96.2,1.2
1600000US0254050,Nikiski- AK,region.place,2013,6.4,13.2,2.8,91.9,1.4
1600000US0280770,Unalaska- AK,region.place,2013,6.5,13.7,4.1,81.8,8.7
1600000US0205200,Barrow- AK,region.place,2013,3.7,16.4,8,83.2,5.5
1600000US0271640,Soldotna- AK,region.place,2013,8,24.1,10.3,92.5,2.8
1600000US0207070,Big Lake- AK,region.place,2013,8.2,19.4,4.8,93,2.7
1600000US0282200,Valdez- AK,region.place,2013,14.4,19.7,4.9,95.6,0.5
1600000US0224980,Farmers Loop- AK,region.place,2013,8.5,36.4,21,94.3,0
1600000US0254920,Nome- AK,region.place,2013,5.2,28.5,7.3,90.5,3.8
1600000US0229130,Goldstream- AK,region.place,2013,8.2,52.9,34.3,96.2,2.8
1600000US0209710,Butte- AK,region.place,2013,13.5,25.4,7.7,93,1.2
1600000US0241830,Kotzebue- AK,region.place,2013,4.5,17.3,9.1,80.9,6.6
1600000US0260310,Petersburg- AK,region.place,2013,9.4,26.5,9.2,96.7,1.5
1600000US0223460,Ester- AK,region.place,2013,9.2,28.9,14.3,92.2,1.1
1600000US0268560,Seward- AK,region.place,2013,3,20.9,7.3,91.4,3.1
1600000US0217410,Cordova- AK,region.place,2013,7.5,29.1,11.5,87.2,7.6
1600000US0221370,Eielson AFB- AK,region.place,2013,23.8,31.1,18.3,100,0
1600000US0286380,Wrangell- AK,region.place,2013,5.1,16.7,3.3,89,2.7
1600000US0255910,North Pole- AK,region.place,2013,5.6,19.5,8.5,87.5,2.3
1600000US0265345,Ridgeway- AK,region.place,2013,10.2,25.7,8,95.5,2.2
1600000US0203110,Anchor Point- AK,region.place,2013,9.4,16,5.1,92.3,2.4
1600000US0218950,Dillingham- AK,region.place,2013,9.3,28.3,11.5,94.6,2.6
1600000US0264380,Prudhoe Bay- AK,region.place,2013,17.9,16.2,0.8,95.7,0.8
1600000US0231050,Haines- AK,region.place,2013,5.4,28.3,9.1,97.2,0.5
1600000US0205585,Bear Creek- AK,region.place,2013,5.3,26.4,7.5,85,3.7
1600000US0233800,Houston- AK,region.place,2013,4.2,15.1,7.6,89.5,1.8
1600000US0285280,Willow- AK,region.place,2013,9.2,18.9,3.3,91.7,2.1
1600000US0218675,Deltana- AK,region.place,2013,8.7,20.4,9.2,99.4,0
1600000US0227090,Fritz Creek- AK,region.place,2013,5.4,33.7,8.8,94.1,2.5
1600000US0241210,Kodiak Station- AK,region.place,2013,19.6,16.3,4.3,97.2,2.3
1600000US0248870,Metlakatla- AK,region.place,2013,3.9,9,4.2,90.3,1.6
1600000US0243260,Lazy Mountain- AK,region.place,2013,9.5,33.4,15.1,92.2,1.8
1600000US0274350,Susitna North- AK,region.place,2013,8.7,19.1,7.7,84.7,2.3
1600000US0277800,Tok- AK,region.place,2013,10.8,14.3,4.4,87.2,4
1600000US0216420,Cohoe- AK,region.place,2013,10.1,24.4,10.3,94.5,2
1600000US0217740,Craig- AK,region.place,2013,6.9,22.9,6.5,92.6,1.1
1600000US0401090,Ak-Chin Village- AZ,region.place,2013,3.8,1.9,1.3,66.4,7.5
1600000US0274525,Sutton-Alpine- AK,region.place,2013,7.6,7.1,2.5,80.9,1.5
1600000US0267020,Sand Point- AK,region.place,2013,3.3,8.7,1,80.3,12.9
1600000US0233470,Hooper Bay- AK,region.place,2013,1.2,1.4,0,72.7,8.8
1600000US0225000,Farm Loop- AK,region.place,2013,11.3,34,11.2,94.8,1.7
1600000US0232150,Healy- AK,region.place,2013,8.3,23,8.4,84,8.5
1600000US0213230,Chevak- AK,region.place,2013,3.1,4.9,0,79.9,6.3
1600000US0270760,Skagway- AK,region.place,2013,3,23.2,4.5,95,0.7
1600000US0266510,Salamatof- AK,region.place,2013,4.6,10.8,3.1,90.4,2.5
1600000US0218925,Diamond Ridge- AK,region.place,2013,5.4,32.5,8.9,97.4,0
1600000US0218620,Delta Junction- AK,region.place,2013,11.1,24.5,9.8,96,1.3
1600000US0201090,Akutan- AK,region.place,2013,3.1,10.3,0,68.5,21.1
1600000US0226100,Fort Greely- AK,region.place,2013,16.1,49.3,17.6,99.3,0
1600000US0209657,Buffalo Soapstone- AK,region.place,2013,3.8,29.8,7.2,91.8,1.3
1600000US0227145,Funny River- AK,region.place,2013,8.8,31.7,12.2,96,1.2
1600000US0222910,Emmonak- AK,region.place,2013,2.7,9.2,3.9,84.9,3.9
1600000US0277690,Togiak- AK,region.place,2013,2.1,7.6,2.3,67.2,17
1600000US0266550,Salcha- AK,region.place,2013,0,31.2,8.1,94.6,0
1600000US0239410,King Cove- AK,region.place,2013,5,19,1.6,87.1,5.5
1600000US0267460,Savoonga- AK,region.place,2013,0.8,2,1.4,62,20.4
1600000US0285680,Womens Bay- AK,region.place,2013,18.5,30.5,5.8,97.3,2.7
1600000US0251180,Mountain Village- AK,region.place,2013,1.5,5.1,1.5,71.6,12.9
1600000US0227640,Gambell- AK,region.place,2013,4.7,6.9,0.9,78,9.7
1600000US0233360,Hoonah- AK,region.place,2013,9.3,14,3.7,83.5,4.7
1600000US0261630,Point Hope- AK,region.place,2013,1.3,7.3,2.4,79.1,10.7
1600000US0240670,Knik River- AK,region.place,2013,9.2,22.8,7.2,89.5,2.1
1600000US0236540,Kachemak- AK,region.place,2013,6.2,35.5,18.5,91.8,1.6
1600000US0242380,Kwethluk- AK,region.place,2013,1.2,2.7,0,77.1,10.2
1600000US0280660,Unalakleet- AK,region.place,2013,6.7,18.1,4.2,89.4,6.3
1600000US0254480,Ninilchik- AK,region.place,2013,7.6,24.5,8.6,93.5,3
1600000US0268230,Selawik- AK,region.place,2013,0,2.3,1.9,69.4,8.7
1600000US0255140,Noorvik- AK,region.place,2013,1.6,3.5,0,75.2,10.6
1600000US0226910,Fox River- AK,region.place,2013,5.3,8.6,0,40.4,42.1
1600000US0266470,St. Paul- AK,region.place,2013,2.5,9.3,3.5,78.3,5
1600000US0201200,Alakanuk- AK,region.place,2013,4,6.2,0.7,70.1,12.8
1600000US0278240,Toksook Bay- AK,region.place,2013,3.1,5.8,1.5,70.8,16
1600000US0206850,Big Delta- AK,region.place,2013,0,22.7,2.2,96.7,3.3
1600000US0250080,Moose Creek- AK,region.place,2013,5,17,10.7,95.3,4.7
1600000US0226870,Fox- AK,region.place,2013,24.5,45.8,8.2,91.8,0
1600000US0239740,Kipnuk- AK,region.place,2013,2.1,5.8,0,77.3,11.3
1600000US0269770,Shishmaref- AK,region.place,2013,2.3,1.9,0,77.4,10.9
1600000US0272230,South Van Horn- AK,region.place,2013,2,12.6,0.7,89.9,0
1600000US0240400,Klawock- AK,region.place,2013,1.6,5.1,2.5,82,5.5
1600000US0200760,Akiachak- AK,region.place,2013,2.9,9,3.5,79.4,9.6
1600000US0252060,Naknek- AK,region.place,2013,4.2,17.1,5,93.7,2.1
1600000US0264600,Quinhagak- AK,region.place,2013,0.9,1.5,0.9,60,15.8
1600000US0272960,Stebbins- AK,region.place,2013,1.8,1.3,1.3,72.2,10.6
